gene_symbol,n_groups,mean_log2FC
Prpf40b,5,0.19371158222344917
Pik3ca,5,-0.08725377305941373
Pak2,5,0.019455252071253402
Zhx1,5,-0.1315676719611187
Acot7,5,0.03657870397188252
Rtn4,5,-0.2047513348879156
Rpl37a,5,0.026322737204949567
Acbd5,5,-0.16608051257797873
Nudt5,5,-0.17192427580861566
Rpl41,5,0.1340882724339277
Polr2e,5,0.11815434263505183
Zyg11b,5,0.29139427712391697
Arid2,5,-0.1478624166709586
Rps12,5,-0.1424734297203485
Rpl7a,5,0.15467066499645127
Pygo1,5,0.1859961062770636
Ndst4,5,0.16832604214472613
Ogt,5,-0.2208219098401162
Amd1,5,-0.1319584518744197
Ndufa13,5,0.23988058623320438
Pxdn,5,4.226869825318194
Adam9,5,0.02903921226541094
Ankrd13c,5,-0.20641155683909704
Ankrd17,5,0.006403312666427167
Adrm1,5,0.24943497828930639
Rlim,5,-0.05720080413097922
Ndufa5,5,0.19225435974672736
Scaf11,5,0.014029292502797242
Rpl9,5,-0.08119579047909242
Adprh,5,0.033476482974453645
Rc3h2,5,-0.23188322744321824
Pdzd8,5,-0.09502065973740614
Ank3,5,0.06937202916101357
Ank1,5,0.08093844678362082
Rps11,5,-0.08068981395948063
Abca5,5,-0.06306758845659892
Ncam2,5,-0.028838413981706827
Arl4d,5,0.8873665164171237
Arl3,5,0.1821170710733048
Polr2c,5,-0.05893691291835649
Ncoa2,5,0.04662946881427549
Adar,5,0.13309506951637734
Nufip2,5,-0.10396044023451263
Rpl8,5,0.21018556600410798
Pcyt2,5,0.2036595053234003
Zfp106,5,-0.04977046745937398
Pex13,5,-0.25156328719693877
Naca,5,-0.2426721469889109
Rab27b,5,0.06732168265984541
Nup98,5,-0.09686476530451105
Arhgap44,5,0.041736205352759966
Rps17,5,0.013173731899157335
Rps18,5,0.14007264424238727
Ppm1b,5,0.2253236752621147
