accession,gse,comparison,treatment,treatment_class,control,symbol,log2FC,padj,direction,group
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Tmprss5,0.6889588768165953,0.013629371362341,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm40231,1.6471451893424371,0.0136544664221017,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm36118,0.6706449148603436,0.0138405142707398,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Prn,-1.1919883607636326,0.0138963362780357,DOWN,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Serinc2,-0.58329367954862,0.0139261397536786,DOWN,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm52506,1.154689597699884,0.0139456066754045,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,4931408D14Rik,1.433157993585371,0.0139668035507671,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Oprm1,1.8664027367646945,0.0139675581940658,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Polq,0.8006373277525969,0.0139954391377607,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm46358,0.6029976028875582,0.0140079110786416,UP,GLP1_Mono|agedst_hippocampus
