Accession,Condition,GeneSet,Term,NES,FDR
Acc10,TBI,Hallmark,prerank,0.9654628904548346,0.7763572970280591
Acc10,TBI,Hallmark,prerank,0.9573485287141626,0.763596214511041
Acc10,TBI,Hallmark,prerank,-0.9547032966502954,0.602295081967213
Acc10,TBI,Hallmark,prerank,0.9127584856537063,0.8248159831756046
Acc10,TBI,Hallmark,prerank,0.8928260856053062,0.8338973329509607
Acc10,TBI,Hallmark,prerank,0.8832080242045194,0.8168426827595666
Acc10,TBI,Hallmark,prerank,0.8454980702358542,0.8663512092534176
Acc10,TBI,Hallmark,prerank,-0.8276591198299583,0.8323705438459537
Acc10,TBI,Hallmark,prerank,0.8167325703699397,0.8829274447949526
Acc10,TBI,Hallmark,prerank,0.7774644826434762,0.9141955835962144
Acc10,TBI,Hallmark,prerank,-0.7510808438380302,0.8923497267759563
Acc10,TBI,Hallmark,prerank,0.68994959354834,0.972590255871013
Acc10,TBI,Hallmark,prerank,0.6342612108694216,0.9694006309148265
Acc11,TBI,Hallmark,prerank,-1.742192517604702,0.0747800586510264
Acc11,TBI,Hallmark,prerank,1.6128305396688654,0.2904290429042904
Acc11,TBI,Hallmark,prerank,-1.6077451527185649,0.06854838709677419
Acc11,TBI,Hallmark,prerank,1.5608641535580723,0.19513201320132012
Acc11,TBI,Hallmark,prerank,1.541080422057921,0.1663916391639164
Acc11,TBI,Hallmark,prerank,1.4646279713861876,0.2473184818481848
Acc11,TBI,Hallmark,prerank,1.4039632190725895,0.31402640264026405
Acc11,TBI,Hallmark,prerank,-1.3523830393521319,0.3655913978494623
Acc11,TBI,Hallmark,prerank,-1.3501113258594855,0.27730938416422285
Acc11,TBI,Hallmark,prerank,1.3477299817845756,0.4069031903190319
Acc11,TBI,Hallmark,prerank,1.3240133890856831,0.40582272512965584
Acc11,TBI,Hallmark,prerank,1.2329206845639915,0.6285066006600659
Acc11,TBI,Hallmark,prerank,1.2193151099207615,0.6171617161716172
Acc11,TBI,Hallmark,prerank,1.1998029943124087,0.6216996699669967
Acc11,TBI,Hallmark,prerank,1.1868484938545665,0.6113861386138614
Acc11,TBI,Hallmark,prerank,1.177522011496241,0.5974972497249725
Acc11,TBI,Hallmark,prerank,-1.1367284940416844,0.7702346041055718
Acc11,TBI,Hallmark,prerank,1.1366606169879234,0.6890708301599391
Acc11,TBI,Hallmark,prerank,1.0931533959787463,0.7844177274870344
Acc11,TBI,Hallmark,prerank,1.090745958958761,0.7333333333333333
Acc11,TBI,Hallmark,prerank,-1.0644098079679063,0.9222873900293255
