input_id,SYMBOL,ENTREZID,ENSEMBL,GENENAME
1700029J03Rik,1700029J03Rik,72264,ENSMUSG00000099968,RIKEN cDNA 1700029J03 gene
1700029J07Rik,1700029J07Rik,NA,NA,NA
1700029M20Rik,1700029M20Rik,73937,ENSMUSG00000086788,RIKEN cDNA 1700029M20 gene
1700029N11Rik,1700029N11Rik,69491,ENSMUSG00000098144,RIKEN cDNA 1700029N11 gene
1700029P11Rik,1700029P11Rik,NA,NA,NA
1700030A11Rik,1700030A11Rik,74179,ENSMUSG00000085333,RIKEN cDNA 1700030A11 gene
1700030C10Rik,1700030C10Rik,69513,ENSMUSG00000099759,RIKEN cDNA 1700030C10 gene
1700030F04Rik,1700030F04Rik,72263,NA,RIKEN cDNA 1700030F04 gene
1700030F18Rik,1700030F18Rik,NA,NA,NA
1700030J22Rik,1700030J22Rik,69528,ENSMUSG00000031847,RIKEN cDNA 1700030J22 gene
1700030K09Rik,1700030K09Rik,72254,ENSMUSG00000052794,RIKEN cDNA 1700030K09 gene
1700030L20Rik,1700030L20Rik,70055,ENSMUSG00000099508,RIKEN cDNA 1700030L20 gene
1700030M09Rik,1700030M09Rik,72259,ENSMUSG00000097424,RIKEN cDNA 1700030M09 gene
1700030N03Rik,1700030N03Rik,70011,ENSMUSG00000100969,RIKEN cDNA 1700030N03 gene
1700030O20Rik,1700030O20Rik,72286,ENSMUSG00000100198,RIKEN cDNA 1700030O20 gene
1700031A10Rik,1700031A10Rik,73286,NA,RIKEN cDNA 1700031A10 gene
1700031F05Rik,1700031F05Rik,73300,ENSMUSG00000032894,RIKEN cDNA 1700031F05 gene
1700031M16Rik,1700031M16Rik,73302,ENSMUSG00000121873,RIKEN cDNA 1700031M16 gene
1700031P21Rik,1700031P21Rik,73278,ENSMUSG00000100315,RIKEN cDNA 1700031P21 gene
1700034E13Rik,1700034E13Rik,78414,ENSMUSG00000024532,RIKEN cDNA 1700034E13 gene
1700034F02Rik,1700034F02Rik,NA,NA,NA
1700034G24Rik,1700034G24Rik,67325,ENSMUSG00000097962,RIKEN cDNA 1700034G24 gene
1700034H15Rik,1700034H15Rik,98736,ENSMUSG00000055833,RIKEN cDNA 1700034H15 gene
1700034I23Rik,1700034I23Rik,NA,NA,NA
1700034J05Rik,1700034J05Rik,73344,ENSMUSG00000040163,RIKEN cDNA 1700034J05 gene
1700034K08Rik,1700034K08Rik,78349,ENSMUSG00000100294,RIKEN cDNA 1700034K08 gene
1700034O15Rik,1700034O15Rik,NA,NA,NA
1700034P13Rik,1700034P13Rik,73331,NA,RIKEN cDNA 1700034P13 gene
1700036G14Rik,1700036G14Rik,73283,ENSMUSG00000099995,RIKEN cDNA 1700036G14 gene
1700037C18Rik,1700037C18Rik,73261,ENSMUSG00000005983,RIKEN cDNA 1700037C18 gene
1700037H04Rik,1700037H04Rik,NA,NA,NA
1700039E15Rik,1700039E15Rik,NA,NA,NA
1700039E22Rik,1700039E22Rik,73322,ENSMUSG00000092369,RIKEN cDNA 1700039E22 gene
1700040L02Rik,1700040L02Rik,NA,NA,NA
1700041C23Rik,1700041C23Rik,67319,ENSMUSG00000100282,RIKEN cDNA 1700041C23 gene
1700041M19Rik,1700041M19Rik,76601,ENSMUSG00000100857,RIKEN cDNA 1700041M19 gene
1700042B14Rik,1700042B14Rik,NA,NA,NA
1700042G07Rik,1700042G07Rik,NA,NA,NA
1700042G15Rik,1700042G15Rik,73349,ENSMUSG00000087044,RIKEN cDNA 1700042G15 gene
1700042O10Rik,1700042O10Rik,73321,ENSMUSG00000086391,RIKEN cDNA 1700042O10 gene
1700044C05Rik,1700044C05Rik,73306,ENSMUSG00000096997,RIKEN cDNA 1700044C05 gene
1700044K03Rik,1700044K03Rik,67321,ENSMUSG00000100297,RIKEN cDNA 1700044K03 gene
1700045H11Rik,1700045H11Rik,73348,ENSMUSG00000078492,RIKEN cDNA 1700045H11 gene
1700046C09Rik,1700046C09Rik,73307,ENSMUSG00000085561,RIKEN cDNA 1700046C09 gene
1700047A11Rik,1700047A11Rik,76604,ENSMUSG00000085437,RIKEN cDNA 1700047A11 gene
1700047E10Rik,1700047E10Rik,74328,ENSMUSG00000115294,RIKEN cDNA 1700047E10 gene
1700047G03Rik,1700047G03Rik,73339,ENSMUSG00000099349,RIKEN cDNA 1700047G03 gene
1700047I17Rik2 Fam177a,1700047I17Rik2 Fam177a,NA,NA,NA
1700047L14Rik,1700047L14Rik,73295,ENSMUSG00000101762,RIKEN cDNA 1700047L14 gene
1700047M11Rik,1700047M11Rik,67330,ENSMUSG00000100147,RIKEN cDNA 1700047M11 gene
1700048M11Rik,1700048M11Rik,100503166,ENSMUSG00000085637,RIKEN cDNA 1700048M11 gene
1700048O20Rik,1700048O20Rik,69430,ENSMUSG00000043773,RIKEN cDNA 1700048O20 gene
1700049E15Rik,1700049E15Rik,100039727,ENSMUSG00000085077,RIKEN cDNA 1700049E15 gene
1700049E22Rik,1700049E22Rik,73395,ENSMUSG00000101553,RIKEN cDNA 1700049E22 gene
1700049G17Rik,1700049G17Rik,NA,NA,NA
1700049L16Rik,1700049L16Rik,108950,ENSMUSG00000043859,hematological and neurological expressed 1-like pseudogene
1700051A21Rik,1700051A21Rik,73366,NA,RIKEN cDNA 1700051A21 gene
1700052I22Rik,1700052I22Rik,67340,ENSMUSG00000101912,RIKEN cDNA 1700052I22 gene
1700052K11Rik,1700052K11Rik,73431,NA,RIKEN cDNA 1700052K11 gene
1700052N19Rik,1700052N19Rik,NA,NA,NA
