SYMBOL,ENTREZID,ENSEMBL,GENENAME
Lrp3,435965,ENSMUSG00000001802,low density lipoprotein receptor-related protein 3
Folr1,14275,ENSMUSG00000001827,folate receptor alpha
Clpb,20480,ENSMUSG00000001829,ClpB caseinolytic peptidase B
Septin7,235072,ENSMUSG00000001833,septin 7
Zdhhc4,72881,ENSMUSG00000001844,"zinc finger, DHHC domain containing 4"
Rac1,19353,ENSMUSG00000001847,Rac family small GTPase 1
Nup214,227720,ENSMUSG00000001855,nucleoporin 214
Aif1l,108897,ENSMUSG00000001864,allograft inflammatory factor 1-like
Cpa3,12873,ENSMUSG00000001865,"carboxypeptidase A3, mast cell"
Ltbp1,268977,ENSMUSG00000001870,latent transforming growth factor beta binding protein 1
Ugp2,216558,ENSMUSG00000001891,UDP-glucose pyrophosphorylase 2
Kcnh6,192775,ENSMUSG00000001901,"potassium voltage-gated channel, subfamily H (eag-related), member 6"
Trmt1,212528,ENSMUSG00000001909,tRNA methyltransferase 1
Nacc1,66830,ENSMUSG00000001910,"nucleus accumbens associated 1, BEN and BTB (POZ) domain containing"
Nfix,18032,ENSMUSG00000001911,nuclear factor I/X
Slc1a5,20514,ENSMUSG00000001918,"solute carrier family 1 (neutral amino acid transporter), member 5"
Uba1,22201,ENSMUSG00000001924,ubiquitin-like modifier activating enzyme 1
Vwf,22371,ENSMUSG00000001930,Von Willebrand factor
Siae,22619,ENSMUSG00000001942,sialic acid acetylesterase
Vsig2,57276,ENSMUSG00000001943,V-set and immunoglobulin domain containing 2
Esam,69524,ENSMUSG00000001946,endothelial cell-specific adhesion molecule
Spa17,20686,ENSMUSG00000001948,sperm autoantigenic protein 17
Fam50a,108160,ENSMUSG00000001962,"family with sequence similarity 50, member A"
Emd,13726,ENSMUSG00000001964,emerin
Taco1,70207,ENSMUSG00000001983,translational activator of mitochondrially encoded cytochrome c oxidase I
Grik3,14807,ENSMUSG00000001985,"glutamate receptor, ionotropic, kainate 3"
Gria3,53623,ENSMUSG00000001986,"glutamate receptor, ionotropic, AMPA3 (alpha 3)"
Npas1,18142,ENSMUSG00000001988,neuronal PAS domain protein 1
Sipa1l2,244668,ENSMUSG00000001995,signal-induced proliferation-associated 1 like 2
Ap4e1,108011,ENSMUSG00000001998,"adaptor-related protein complex AP-4, epsilon 1"
Blvra,109778,ENSMUSG00000001999,biliverdin reductase A
Pdzd4,245469,ENSMUSG00000002006,PDZ domain containing 4
Srpk3,56504,ENSMUSG00000002007,serine/arginine-rich protein specific kinase 3
Idh3g,15929,ENSMUSG00000002010,"isocitrate dehydrogenase 3 (NAD+), gamma"
Pnck,93843,ENSMUSG00000002012,pregnancy upregulated non-ubiquitously expressed CaM kinase
Ssr4,20832,ENSMUSG00000002014,"signal sequence receptor, delta"
Bcap31,27061,ENSMUSG00000002015,B cell receptor associated protein 31
Fam98a,72722,ENSMUSG00000002017,"family with sequence similarity 98, member A"
Ltbp2,16997,ENSMUSG00000002020,latent transforming growth factor beta binding protein 2
Kmt2a,214162,ENSMUSG00000002028,lysine (K)-specific methyltransferase 2A
Ift46,76568,ENSMUSG00000002031,intraflagellar transport 46
Tmem25,71687,ENSMUSG00000002032,transmembrane protein 25
Trappc6a,67091,ENSMUSG00000002043,trafficking protein particle complex 6A
Supt6,20926,ENSMUSG00000002052,"SPT6, histone chaperone and transcription elongation factor"
Spag5,54141,ENSMUSG00000002055,sperm associated antigen 5
Unc119,22248,ENSMUSG00000002058,unc-119 lipid binding chaperone
Rab34,19376,ENSMUSG00000002059,"RAB34, member RAS oncogene family"
Sdf2,20316,ENSMUSG00000002064,stromal cell derived factor 2
Ccne1,12447,ENSMUSG00000002068,cyclin E1
Hsf2bp,74377,ENSMUSG00000002076,heat shock transcription factor 2 binding protein
Bbc3,170770,ENSMUSG00000002083,BCL2 binding component 3
Mybpc3,17868,ENSMUSG00000002100,"myosin binding protein C, cardiac"
Psmc3,19182,ENSMUSG00000002102,"proteasome (prosome, macropain) 26S subunit, ATPase 3"
Acp2,11432,ENSMUSG00000002103,"acid phosphatase 2, lysosomal"
Rapsn,19400,ENSMUSG00000002104,receptor-associated protein of the synapse
Slc39a13,68427,ENSMUSG00000002105,"solute carrier family 39 (metal ion transporter), member 13"
