ID,logFC
Tubb5,-0.625851686473199
Rfx2,0.6226510805038238
Vegfa,0.62261703631614
Cacnb2,-0.6224202978823835
Cds2,-0.6171183742158179
Exoc6b,-0.6169567360650469
Bmpr2,-0.6122031144936865
Opa1,-0.6079794836016829
Neo1,-0.6078531291016667
Clcn4,-0.6010017661619216
Arel1,-0.6001127371146904
Ap2b1,-0.594654875441913
B4galt1,0.5909681938002903
Rnf122,0.5909087988500353
Slc37a3,-0.5846649356377203
Epm2aip1,-0.5782647120781995
Dync1h1,-0.5775098010178388
Hes1,0.5774265359759735
Lrp8,-0.5693365294510979
Rapgef1,-0.5618502566221051
Usp22,-0.5459011384569578
Relt,0.5451614251285456
Vps13d,-0.5449614545065735
Asap3,0.5296392225040406
Clu,-0.5250980646558975
Fam107a,-0.5218323764185663
Ankrd12,-0.5165347012351126
Crim1,-0.5058530169612883
Mapk1,-0.4981543865020959
Prkx,0.4817391978783172
Ccdc88a,-0.4759063739515648
Atp8a1,-0.4698119911759806
Slc14a1,-0.4690342602715983
Sox4,-0.4626943859628671
Fam107b,0.4603112243426623
Adamts16,0.4181179860556459
Msmo1,0.4134197365576097
Zfp703,0.4029085071387654
Zeb2,-0.4025286683159263
Igfbp7,-0.3854354314310301
Slc6a6,-0.3638127517733423
Timp3,0.3597610535697441
Zmynd8,-0.3518227795681747
Uhrf1bp1l,-0.3508001101169228
Slc41a2,0.3292208628971284
Nsf,-0.3274464039428199
Lnpep,-0.3237403132393956
Smad1,-0.304835453362573
Sox9,0.3030445986373388
Msl3l2,0.2698646993227891
Rap2b,0.2594360328412217
Arl4c,0.2558071461385796
2610507b11rik,-0.2534313392010399
Ldlr,-0.2271656906120508
Ecscr,0.2061222478320881
Rhoj,0.1866966365240565
Reps2,-0.1771564886845868
Ier5,-0.1752805427596701
Ets1,-0.1711309966403211
Zfp503,-0.1546173918334901
Dgkz,0.1522023609213771
Efr3b,0.138277506140427
Ank,-0.1081530385865721
Cnn3,0.0738016483097195
Creg2,0.0661064760974015
Dll1,-0.0534125023362469
Prkab1,0.0431421086823347
Atf6,0.0342671984609178
Eng,0.0337957555366662
Cers6,-0.013575056286899
Mmp12,5.926208548301736
Ccn1,5.043635455311703
Tfpi2,4.129430077999627
S100a9,3.974989906854694
Fn1,3.906711011410363
Msr1,3.5398031701775308
Lif,3.470412099873127
Bcl2a1d,3.4686289924538523
Chac1,3.3986362217963237
Trim6,3.362200998416818
S100a8,3.2199309324549668
Mir155hg,3.165345386489041
Tnfsf18,3.154375675620199
Creb5,3.0483677181708546
Cd44,2.9776786895375604
Vdr,2.9768826349930064
Gpr84,2.959152749304648
Cadm2,-2.839258542597932
Gpnmb,2.827172990392344
G0s2,2.816817680503761
Ccn2,2.746151183638241
Bcl2a1b,2.7233824623609864
Enpp2,-2.7153154848985803
Six4,2.5972461954687263
Rhov,2.578666327494632
Car3,2.5170360738674247
Ccr1,2.51673705516514
Casp4,2.5164171062301994
Ahnak,2.489290599229117
Grik5,-2.460561515488208
Tmem119,-2.4553518145712165
Cnih2,-2.396613905121408
Cited1,2.365832358412287
Pdzd4,-2.3472593887733866
Shank1,-2.342250028841669
Syt1,-2.3187144089998437
Cd274,2.3172657916925963
Pnmal2,-2.3143773075425687
Fzd5,2.267820665293514
Slc25a24,2.2348702657831465
Rab7b,2.1881306107426965
Fibcd1,-2.186592449419589
Flnc,2.148423848451672
Ppp1r1b,-2.1211299092170983
Pak6,-2.1164330400959206
Cxcl16,2.106512900648912
Ifi207,2.036790504389286
Cdc42ep2,2.0336861127821733
Mx2,2.030539550659016
Tcim,1.986450938337605
Esm1,1.9787163799254337
Prr5l,1.9597913355281928
Opcml,-1.9396223989352104
Cdr2,1.9240783828405263
Iqgap1,1.921272664423175
Lipg,-1.920734227939049
Atp1b1,-1.8819660580319872
Ajuba,1.8813344759135693
Tnfaip2,1.8780807259315344
Ciart,1.870589622627277
P2ry13,-1.8687921060286328
Fam163b,-1.8524997621234285
Prkcg,-1.8467514916137664
Bcl11a,-1.841379741939874
Tmem204,-1.839657071956659
Anxa5,1.8309230833039576
Slit3,-1.8304029422291008
Htr4,-1.8153162503401767
Gabra2,-1.802569930723139
Myo1e,1.8007243762137637
Cdkn2b,1.7941262232576758
Igsf3,-1.7892878616913457
Gria3,-1.7837563797267235
Tlr1,1.7831719891035376
Plcb1,-1.76993700464771
Dio2,-1.7588274243705413
Fam189a1,-1.755471379696258
Pclo,-1.7405180523760038
Sh3gl2,-1.7352973522585131
Cryab,1.7314127160454291
Neurl3,1.7250001340855938
Tet1,-1.7193030626160195
Gm8862,1.7183648404235192
Adamts4,1.7159509945854112
Hs3st4,-1.713015355991757
Adam23,-1.7057129539176128
Kcnk5,1.705420723436087
Snn,-1.705309772106283
Slc12a5,-1.7020940274814926
Abtb2,1.6968448789383133
Slc4a10,-1.6901289245331743
Il16,-1.687377690484924
Slc7a14,-1.656404544794576
Dgkg,-1.652975258087519
Samsn1,1.6475717019920566
S1pr3,1.6442136342984852
Slc16a3,1.6354040012774462
Scg2,-1.6237168706271798
4930523c07rik,1.6234487436922365
Tenm3,-1.6170225140966543
Srcin1,-1.6147988853442734
Svop,-1.608650502012938
Frmpd4,-1.6041091882736338
Stx1b,-1.592756923031539
Snhg15,1.5652861060878454
Unc80,-1.5590611517564583
Lrrtm1,-1.5560538091321052
Zfp697,-1.5550774291045273
Nmnat2,-1.5495592827997746
Dab1,-1.5479258422783408
Kctd16,-1.545142544000692
Nlrp3,1.5401762347043664
Rgcc,1.5353965284066884
Prickle2,-1.535325268512266
Cx3cl1,-1.5303919367507508
Kcna1,-1.5219355955356604
Nfix,-1.52172439777117
Ifitm3,1.5213695971128172
Gprin1,-1.5175539069374635
Ccno,1.5076217323170482
Lrrc7,-1.5070367645359728
Pak3,-1.504672356374138
H2-q4,1.5041550490309248
Dcx,-1.4962161222187234
Tec,1.4924562291256191
Lonrf2,-1.4839703201494612
Bmp3,-1.473920046439531
Grm1,-1.4690442027775734
Klhl3,-1.4649908501360942
3300002p13rik,-1.4353046813007144
