"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_2655144",0.0910210950000001,1.05201203428571,1.49278687480823,0.155392940539563,0.48947153069947,-5.37705260659484
"ILMN_2898924",-0.0830881866666665,0.952521022857143,-1.49269340265872,0.155417173521841,0.48947153069947,-5.3771789698205
"ILMN_2815545",0.0859505000000001,1.04911452142857,1.49261103229128,0.155438530938315,0.48947153069947,-5.37729031987977
"ILMN_2610771",0.1027729,1.05872737142857,1.4925626038601,0.155451088854908,0.48947153069947,-5.377355784356
"ILMN_2745055",0.108264495,1.06186534571429,1.49249657683442,0.155468211603264,0.48947153069947,-5.37744503567567
"ILMN_2985111",-0.0998726591666664,0.942929975714286,-1.4923060217592,0.155517636947424,0.489518807533206,-5.37770259997499
"ILMN_1249634",-0.118461115,0.932307934285714,-1.49217430355274,0.155551809093236,0.489518807533206,-5.37788062295783
"ILMN_2771013",0.0941391833333333,1.05379378571429,1.49213208352938,0.15556276371537,0.489518807533206,-5.37793768271325
"ILMN_2828896",-0.0827903233333331,0.952691157142857,-1.49210124992944,0.155570764364246,0.489518807533206,-5.37797935312208
"ILMN_1246507",-0.101237575833333,0.94214989,-1.49205309521965,0.155583260150373,0.489518807533206,-5.37804443105454
"ILMN_1219978",0.0888123000000002,1.05074988571429,1.49178746870758,0.155652203267803,0.489518807533206,-5.37840337978594
"ILMN_1260033",0.115041375,1.06573792857143,1.49172586822932,0.155668195250527,0.489518807533206,-5.378486615489
"ILMN_2719587",-0.0933246583333332,0.946671607142857,-1.49171365340807,0.1556713664796,0.489518807533206,-5.37850312007708
"ILMN_3105343",0.0960191891666668,1.05486816142857,1.49160808656682,0.155698776134047,0.489518807533206,-5.37864575712576
"ILMN_2828877",-0.124446208333333,0.928887914285714,-1.49156810020613,0.155709159348513,0.489518807533206,-5.37869978289149
"ILMN_2740949",-0.100879255,0.942354791428571,-1.49148550197334,0.155730609367569,0.489518807533206,-5.37881137835201
"ILMN_2600678",0.0878501283333335,1.05020002,1.49141449476966,0.155749051268086,0.489518807533206,-5.37890730992002
"ILMN_1220021",-0.0872879091666666,0.950121241428571,-1.49140256934791,0.155752148701859,0.489518807533206,-5.37892342097188
"ILMN_3001417",-0.0835442216666666,0.952260491428571,-1.49134018387271,0.155768353147791,0.489518807533206,-5.37900770117718
"ILMN_2422834",-0.0812867133333332,0.953550462857143,-1.49126477857875,0.155787941328416,0.489518807533206,-5.37910956711909
"ILMN_2619574",-0.0938816283333333,0.946353368571428,-1.49126446704785,0.155788022259663,0.489518807533206,-5.37910998796208
"ILMN_1226770",-0.0838772299999999,0.952070134285714,-1.49108930067759,0.155833533509507,0.489564440075477,-5.37934660754216
"ILMN_2615513",-0.100790785,0.942405265714286,-1.491061441816,0.15584077274379,0.489564440075477,-5.37938423815679
"ILMN_2811282",0.0881179800000001,1.05035315142857,1.49098861283451,0.155859698963205,0.489564440075477,-5.37948261010444
"ILMN_2640140",-0.100460165,0.942594181428571,-1.49056105811187,0.155970847116636,0.489721803802716,-5.38006004695953
"ILMN_1222243",-0.0829426274999999,0.952604212857143,-1.49042676769545,0.156005771197057,0.489721803802716,-5.38024138832936
"ILMN_2827535",-0.0787922558333333,0.954975937142857,-1.49040676612731,0.156010973438756,0.489721803802716,-5.38026839674974
"ILMN_3162291",-0.0821875266666665,0.953035675714286,-1.49037791385238,0.156018477930277,0.489721803802716,-5.38030735593821
"ILMN_1216238",-0.0845879108333333,0.951664084285714,-1.49016838426317,0.156072985703781,0.489721803802716,-5.38059026661988
"ILMN_1220629",0.0801392583333335,1.04579382857143,1.49013558363249,0.15608152001215,0.489721803802716,-5.3806345519504
