comparison,SYMBOL,ENTREZID,ENSEMBL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B,direction,significant
WT_6h_ipsilateral_vs_contralateral,Setd1b,208043,ENSMUSG00000038384,SET domain containing 1B,0.7170610634236141,10.066759301390736,4.684467094134264,0.0014154358622859523,0.022297619400579626,-1.032890065676785,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Cntfr,12804,ENSMUSG00000028444,ciliary neurotrophic factor receptor,0.7288267559109212,9.7872591324168,4.681851212552642,0.0014203796808236885,0.022359687201659123,-1.036540507960403,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Fbxo30,71865,ENSMUSG00000047648,F-box protein 30,0.9335807707309502,8.1458979140409,4.676987411347466,0.0014296216519757566,0.022478371395121356,-1.043330600419873,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Mtus1,102103,ENSMUSG00000045636,mitochondrial tumor suppressor 1,0.5954033141396149,9.381643888771329,4.676528326739054,0.0014304973390958286,0.022478371395121356,-1.0439716849201472,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Pde3b,18576,ENSMUSG00000030671,"phosphodiesterase 3B, cGMP-inhibited",0.6757919194822506,8.583020820013587,4.676293031554794,0.001430946381067658,0.022478371395121356,-1.0443002728311708,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Rps19-ps8,675566,ENSMUSG00000096920,"ribosomal protein S19, pseudogene 8",0.8726653703693659,7.1871289244838374,4.67435401096994,0.0014346526601501917,0.022520710362822775,-1.0470084124550558,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Gjc1,14615,ENSMUSG00000034520,"gap junction protein, gamma 1",0.825593837379782,8.078434621354223,4.673581249427256,0.0014361326247290457,0.022528066349182745,-1.0480878476929316,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Rasgef1a,70727,ENSMUSG00000030134,"RasGEF domain family, member 1A",-0.5494109140717001,10.59217471603736,-4.6692101499097065,0.001444535160369769,0.022643927302770307,-1.0541953018679822,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Cstb,13014,ENSMUSG00000005054,cystatin B,0.7098087572376315,8.536691723505351,4.668100590162479,0.001446676516015877,0.022661546690755038,-1.0557460681504223,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Clk3,102414,ENSMUSG00000032316,CDC-like kinase 3,0.6572370273131423,9.54081894568092,4.666829173660506,0.0014491344655918855,0.022681555591693398,-1.0575232762257425,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Stk35,67333,ENSMUSG00000037885,serine/threonine kinase 35,0.6016663129168194,9.337470039184938,4.666386997802922,0.0014499903552220605,0.022681555591693398,-1.0581414134210512,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Por,18984,ENSMUSG00000005514,cytochrome p450 oxidoreductase,0.5590467355753237,10.512393754117127,4.663764628775532,0.001455077551318492,0.02273234520559387,-1.0618079340520516,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Col18a1,12822,ENSMUSG00000001435,"collagen, type XVIII, alpha 1",0.6384367600317944,9.270013698728553,4.663661346556499,0.0014552783058665256,0.02273234520559387,-1.0619523611066821,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Shisa4,77552,ENSMUSG00000041889,shisa family member 4,0.5630685540348637,10.580122799360723,4.66290548594938,0.0014567484205988705,0.022739363047540182,-1.0630093841528545,Up,TRUE
