gene_symbol,group,log2FC,padj,direction
Nadk2,Acc6_dvc_AC3174,1.3974127682885773,0.0026716915164871,UP
Xkr8,Acc6_dvc_AC3174,4.947200598517058,0.0035042515010514,UP
Lrrk1,Acc6_dvc_AC3174,10.592105779171082,0.0051618489163919,UP
Ppp1r17,Acc6_dvc_AC3174,10.5974762708402,0.0057681913852083,UP
Ccn1,Acc6_dvc_AC3174,9.546252512622068,0.0094930625675194,UP
Jsrp1,Acc6_dvc_AC3174,-9.40500023404446,0.025170200428009,DOWN
Fam167a,Acc6_dvc_AC3174,9.205600803704389,0.034731819051681,UP
Slc10a4-ps,Acc6_dvc_AC3174,6.744809588468569,0.0492314801765641,UP
Ripk4,Acc6_dvc_AC710222,16.377188577347972,6.954856616518813e-05,UP
Itpr3,Acc6_dvc_AC710222,-7.787179378440488,0.0003972268880363,DOWN
Zfp385c,Acc6_dvc_AC710222,6.0836159432608,0.0019005990581632,UP
Ccn1,Acc6_dvc_AC710222,10.02279752854774,0.0060668485423462,UP
Serpina9,Acc6_dvc_AC710222,-7.516410062958008,0.0109921001906606,DOWN
Xkr8,Acc6_dvc_AC710222,4.392526380429323,0.0330421380530738,UP
Styxl1,Acc6_dvc_AC710222,-5.900947635521525,0.0465657847596072,DOWN
Fam167a,Acc6_dvc_AC710222,9.09293074718822,0.0479341097238329,UP
Slc10a4-ps,Acc6_dvc_AC710222,6.8215941001971725,0.0479341097238329,UP
Tmem266,Acc6_dvc_AC710222,4.441734406055023,0.0479341097238329,UP
Tnc,Acc6_dvc_COMBO,-43.2808512266689,9.379798815635244e-25,DOWN
Ripk4,Acc6_dvc_COMBO,24.582666184404697,4.317310906910265e-14,UP
Zfp385c,Acc6_dvc_COMBO,7.504345557741649,2.78935343130492e-06,UP
Gm26691,Acc6_dvc_COMBO,-2.9893444169901446,1.1370589964732188e-05,DOWN
Slc5a11,Acc6_dvc_COMBO,-43.2808512266689,2.1512036916678e-05,DOWN
Xkr8,Acc6_dvc_COMBO,5.511012649949676,0.0001564080346721,UP
Ppp1r17,Acc6_dvc_COMBO,11.803622114977014,0.0003710152513004,UP
Ccn1,Acc6_dvc_COMBO,10.764367676595748,0.0005064410164385,UP
Nadk2,Acc6_dvc_COMBO,1.4077547514019637,0.0007233090563707,UP
Serpina9,Acc6_dvc_COMBO,-7.305626369839295,0.0110564539144964,DOWN
Fam167a,Acc6_dvc_COMBO,9.428694252170663,0.0154764117026112,UP
Tmem266,Acc6_dvc_COMBO,4.515156361514639,0.0194629835358072,UP
Srsf10,Acc6_dvc_COMBO,0.7678416874344836,0.0253631538086055,UP
Lipt2,Acc6_mbh_AC3174,6.960471348791523,2.1861578230015238e-10,UP
Gm5532,Acc6_mbh_AC3174,10.953341703105773,2.1602751917110063e-09,UP
Rnf19b,Acc6_mbh_AC3174,3.2595967478682977,3.6304917895985413e-07,UP
Sema6a,Acc6_mbh_AC3174,5.081708324689977,1.4226047682995425e-06,UP
N4bp2l2,Acc6_mbh_AC3174,-1.6622645671459106,2.5400220841127493e-06,DOWN
Zfp41,Acc6_mbh_AC3174,13.047595437557902,4.558560955697838e-06,UP
Cdan1,Acc6_mbh_AC3174,4.522200026335886,1.1116797840042178e-05,UP
Hspa12b,Acc6_mbh_AC3174,6.876052763642561,6.756726904208802e-05,UP
Msantd2,Acc6_mbh_AC3174,5.658111988329818,6.756726904208802e-05,UP
Fnip2,Acc6_mbh_AC3174,7.345383064577351,7.042975160351386e-05,UP
Pan3,Acc6_mbh_AC3174,3.199737939277887,8.466744218294877e-05,UP
Brwd3,Acc6_mbh_AC3174,11.941105292732766,8.707941162006947e-05,UP
Echdc2,Acc6_mbh_AC3174,11.65763217798225,0.0001120604967289,UP
Myo1e,Acc6_mbh_AC3174,13.106785393831696,0.0001160585302184,UP
Nwd2,Acc6_mbh_AC3174,12.06218437835233,0.0001977751515854,UP
C2cd4d,Acc6_mbh_AC3174,7.60661834748482,0.0001977751515854,UP
H2bc21,Acc6_mbh_AC3174,7.177879031086691,0.000253865887959,UP
