ID,logFC
Zmym1,-0.7135871243875512
Mkks,-0.7406673910368136
Gjc3,-0.7827153871991657
Loc108168933,-0.8421758311712895
Fam20a,-0.9039248723301812
Elmod3,-1.2681659097128353
Hspa1b,-1.2932181819469686
Kdelr2,-1.3015234698876206
Gm5141,-1.4151153403382577
Jsrp1,-1.7656803847065927
Kcnh5,-2.198754346724201
Ripk4,13.429159457699194
Zfp41,12.410943896393036
Szt2,11.663139631771877
Cacna1d,11.291666481571283
Pawr,10.876390514029806
Cdc45,10.816238877484446
Ptgr1,10.450660905474844
Mgmt,10.33692298530587
Ccn1,10.111139239255186
Gm5532,9.976591389178475
Bc065397,9.921538348310172
Igfbp2,9.92064945876658
Gm14168,9.771276416934027
Slc9b2,9.471728850079712
Nupr2,8.533561740255944
Calcr,8.393146088816707
H2bc21,7.883084420720194
F12,7.495043923364895
Slc10a7,7.408067614973564
C2cd4d,7.197142854449617
Flna,6.665944374236166
Lipt2,6.466207965606629
Plekhh2,6.232323288775153
Hspa12b,6.07317398235558
Adra2c,5.6459037421378016
Fam241a,5.124337035150349
Xkr8,4.950246542965353
Mreg,4.758004623283353
Fnip2,4.443245754245111
Cdan1,3.912796214940217
Enpp6,3.4869143446724906
Rnf19b,3.0475875173473903
Tmem266,2.850874522305983
Fbxo32,2.6873520190717968
Cep57l1,2.654238360249204
Nkx2-1,2.632360346107544
Tlnrd1,2.360938600781013
Rbm26,2.2499336521079707
Habp4,2.109726741520138
Uri1,1.9879745333031595
Bag1,1.8830822244653596
Bc1,1.769158591040294
Gm13889,1.7065786916624617
Baz1b,1.584431199159097
Dtx1,1.5165089899145352
Nes,1.499506543544575
Nanos1,1.4852740383206249
Neurl1a,1.3495447159561225
Dcaf10,1.2370467733843948
Cdk17,1.1830624433947987
Rrs1,1.1252595428330727
Mapk1,1.1180066982974668
Ada,1.0568976308833775
Ndufb1,1.045232519889192
Wsb2,1.020851649194823
Nrap,1.0201611379936428
Tomm7,0.9964635944946462
Snrpf,0.982025600380588
Ptgs2,0.9744049674284164
Cyrib,0.9662635266266644
Tceal5,0.9230306883333146
Rps21,0.9223946298467748
Wnt9a,0.889173271416133
Ppm1b,0.8853418102943077
3110070m22rik,0.8657080836361734
Lsm7,0.8595755910967456
Lysmd2,0.8438224864187177
Gng13,0.8410319738485231
Ndufs6,0.8394403597687982
Slc25a28,0.8305848725080917
Casq1,0.7665293744577819
Pim3,0.747108015078044
Fosl2,0.7370593710031859
Mef2d,0.7119408279474534
Au041133,0.7101557665151285
Pin4,0.7022870433410141
Rpl37,0.6981924460635476
Cebpd,0.6920637034664955
Mtch1,0.6762164223852016
Tmsb10,0.6743259897740698
Cirbp,0.6717802780296953
Snhg8,0.659691477462396
Mrpl20,0.652795139026733
Gm19439,0.6517856083482721
Naa38,0.6464284182517348
Rnaseh2c,0.6428527767486861
Galnt15,0.64212425114829
Ndufaf8,0.6383402773957122
Lsm4,0.6316767008450378
Kif3b,0.6286985175370509
Tmem258,0.6267263870812885
Kcna3,0.6228888083984128
Gas5,0.6212226132561112
Pfdn6,0.6196807802002091
Pdap1,0.6187424691603085
Rpl41,0.6162462602570052
Lamtor4,0.6146046907110415
Emc9,0.6076221156353458
Dbi,0.6066511242712919
Flywch2,0.5932045549062606
Drap1,0.5896733634256438
Lor,0.5857085857929466
Atp5j2,0.5806042756366144
Pdlim2,0.5804401078944134
Nt5c,0.5780553761680318
Tma7,0.5740989957024742
Gadd45g,0.572181953637053
Ralgapa1,0.5669202639993306
Snhg12,0.5667821695773737
D8ertd738e,0.5637533584145805
Nudt8,0.5631206509247346
Ccdc12,0.5614824233406015
Pla2g3,0.5583400953607097
Rpl23a,0.5567451125553893
Timm13,0.5547872377024411
Uqcc3,0.5545698319724672
Thap3,0.5511410786589699
Rps23,0.5510996049479857
Rplp2,0.5485037059124888
Spa17,0.5448481618812638
Lamtor2,0.5429593746176241
Huwe1,0.5405882174265151
Fam107b,0.5396169264924681
Lsm8,0.5335688964988989
Rpl30,0.5326932500412661
Rpl11,0.5311544458717852
Trir,0.5296353451351925
Cep131,0.5292689772754788
Tmem240,0.5284111003903146
Fkbp2,0.5283965754533441
Srxn1,0.5282608569959961
Polr2l,0.5271412042623297
Tppp3,0.5266624402634613
